desa,kecamatan,Latitude,Longitude,rr,skor_hujan,elevasi_m,slope_deg,skor_risiko,kelas,tempat_evakuasi_tujuan,jarak_ke_shelter_km,manajemen_tindakan
Desa Jatisari,Kedungreja,-7.514545,108.786467,11.119364427449176,1.4347567003160229,10.0,1.4708535287826905,69.6,Tinggi,Balai Desa Kedungreja,1.23,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Caruy,Cipari,-7.373138,108.812791,9.760410211469418,1.2594077692218604,25.0,3.7932476741557775,55.9,Tinggi,Balai Desa Caruy,1.14,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Cisuru,Cipari,-7.38692,108.701254,8.967197064359224,1.1570576857237709,58.0,7.108143929561305,51.4,Sedang,Balai Desa Tarisi,0.87,WASPADA (Pantau Saluran Air & Siapkan Tas Darurat)
Desa Serang,Cipari,-7.446416,108.788571,10.430558674005017,1.3458785385812924,23.0,4.133048562910295,64.7,Tinggi,Balai Desa Segaralangu,0.75,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Mulyadadi,Cipari,-7.426113,108.790305,10.21713002983506,1.318339358688395,192.0,18.0,36.6,Sedang,Balai Desa Karangreja,1.55,WASPADA (Pantau Saluran Air & Siapkan Tas Darurat)
Desa Mekarsari,Cipari,-7.400061,108.745623,9.527589928512477,1.2293664423887067,35.0,5.227531198095575,55.0,Tinggi,Balai Desa Mekarsari,0.07,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Kutasari,Cipari,-7.392746,108.817824,10.039466584524028,1.2954150431643907,26.0,3.656395506525176,56.3,Tinggi,Balai Desa Kutasari,1.63,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Sidasari,Cipari,-7.384348,108.78069,9.651165339614346,1.2453116567244318,30.0,4.428095229648934,55.2,Tinggi,Balai Desa Sidasari,0.06,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Tinggarjaya,Sidareja,-7.480452,108.766832,10.580520141824405,1.3652284053966972,12.0,2.305394391080592,65.8,Tinggi,Balai Desa Tinggarjaya,0.02,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Sidareja,Sidareja,-7.480474,108.795257,10.862697488536718,1.4016383856176409,8.0,1.3187962377357378,68.4,Tinggi,Balai Desa Sidareja,0.43,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Sidamulya,Sidareja,-7.48897,108.804965,11.045977590966706,1.425287431092478,8.0,2.417418478870382,68.9,Tinggi,Balai Desa Sudagaran,0.52,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Tegalsari,Sidareja,-7.485648,108.774499,10.710794007778729,1.382037936487578,16.0,3.1051859527055603,65.5,Tinggi,Balai Desa Tegalsari,0.01,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Margasari,Sidareja,-7.469319,108.774928,10.548074319474347,1.3610418476741093,11.0,2.7352985181898646,65.9,Tinggi,Balai Desa Tinggarjaya,1.53,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Gunungreja,Sidareja,-7.479295,108.786157,10.762083086923912,1.3886558821837305,6.0,2.072758290598708,68.0,Tinggi,Balai Desa Gunungreja,0.05,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Sudagaran,Sidareja,-7.491794,108.808189,11.106850141844632,1.4331419537864043,6.0,1.657059970335519,69.9,Tinggi,Balai Desa Sudagaran,0.24,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Gandrungmangu,Gandrungmangu,-7.519169,108.863969,11.915881158879474,1.5375330527586415,12.0,2.830623929032364,74.7,Kritis,Balai Desa Kamulyan,0.87,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Gandrungmanis,Gandrungmangu,-7.524044,108.85814,11.920542884885029,1.5381345657916163,16.0,2.143889502872687,74.8,Kritis,Balai Desa Gandrungmanis,0.29,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Cisumur,Gandrungmangu,-7.528578,108.826473,11.670190872465126,1.5058310803180808,16.0,2.294376007386803,73.7,Tinggi,Balai Desa Cisumur,0.75,SIAGA (Mulai Mobilisasi Lansia & Anak-Anak)
Desa Binagun,Bantarsari,-7.543184,108.92231,12.652788325021614,1.6326178483898857,18.0,2.3233182044747536,81.7,Kritis,Balai Desa Binangun,0.41,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Bantarsari,Bantarsari,-7.538556,108.876306,12.243954535740322,1.579865101385848,15.0,2.35546246306857,76.9,Kritis,Balai Desa Bantarsari,0.65,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Rawajaya,Bantarsari,-7.557334,108.892896,12.601528621644436,1.626003693115411,8.0,1.6041482055652747,81.7,Kritis,Balai Desa Rawajaya,1.56,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Bulaksari,Bantarsari,-7.523689,108.888506,12.168547054611173,1.5701351038207965,18.0,2.639888644483454,76.7,Kritis,Balai Desa Bulaksari,0.03,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Grugu,Kawunganten,-7.645244,108.912399,13.697846341423585,1.7674640440546558,5.0,1.860232512812701,87.5,Kritis,Balai Desa Grugu,0.03,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Bringkeng,Kawunganten,-7.635518,108.917016,13.662764858467218,1.7629374010925445,3.0,0.959454657371025,87.5,Kritis,Balai Desa Grugu,1.18,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Ujungmanik,Kawunganten,-7.64409,108.951428,14.09618130777141,1.818862104228569,5.0,1.093308313562333,87.8,Kritis,Balai Desa Ujungmanik,0.01,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
Desa Bojong,Kawunganten,-7.608174,108.926794,13.474665663478556,1.7386665372230394,5.0,1.4597745164215477,84.1,Kritis,Balai Desa Bojong,0.04,EVAKUASI SEGERA (Jalur Merah Utama dibuka)
